Tipo Titulo,Data Vencimento,Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha,Prazo_anos
Tesouro IPCA+,2015-05-15,2005-08-22,"8,75","8,81","682,17","678,53","678,23",9.727583846680355
Tesouro IPCA+,2024-08-15,2005-08-22,"8,82","8,90","311,13","306,83","306,70",18.981519507186857
Tesouro IPCA+,2015-05-15,2005-08-23,"8,75","8,81","682,47","678,84","678,53",9.724845995893224
Tesouro IPCA+,2024-08-15,2005-08-23,"8,82","8,90","311,26","306,97","306,83",18.978781656399725
Tesouro IPCA+,2015-05-15,2005-08-24,"8,75","8,81","682,77","679,14","678,84",9.722108145106091
Tesouro IPCA+,2024-08-15,2005-08-24,"8,82","8,90","311,40","307,11","306,97",18.976043805612594
Tesouro IPCA+,2015-05-15,2005-08-25,"8,75","8,81","683,08","679,44","679,14",9.71937029431896
Tesouro IPCA+,2024-08-15,2005-08-25,"8,82","8,90","311,54","307,25","307,11",18.973305954825463
Tesouro IPCA+,2015-05-15,2005-08-26,"8,74","8,80","683,74","680,10","679,73",9.716632443531827
Tesouro IPCA+,2024-08-15,2005-08-26,"8,82","8,90","311,57","307,27","307,10",18.97056810403833
Tesouro IPCA+,2015-05-15,2005-08-29,"8,75","8,81","683,40","679,77","679,49",9.708418891170432
Tesouro IPCA+,2024-08-15,2005-08-29,"8,82","8,90","311,69","307,40","307,27",18.962354551676935
Tesouro IPCA+,2015-05-15,2005-08-30,"8,74","8,80","684,28","680,65","680,37",9.705681040383299
Tesouro IPCA+,2024-08-15,2005-08-30,"8,82","8,90","311,82","307,52","307,40",18.9596167008898
Tesouro IPCA+,2015-05-15,2005-08-31,"8,74","8,80","684,56","680,92","680,65",9.702943189596168
Tesouro IPCA+,2024-08-15,2005-08-31,"8,82","8,90","311,94","307,64","307,52",18.95687885010267
Tesouro IPCA+,2015-05-15,2005-09-01,"8,74","8,80","684,83","681,19","680,92",9.700205338809035
Tesouro IPCA+,2024-08-15,2005-09-01,"8,82","8,90","312,07","307,77","307,64",18.954140999315538
Tesouro IPCA+,2015-05-15,2005-09-02,"8,74","8,80","685,20","681,56","681,19",9.697467488021903
Tesouro IPCA+,2024-08-15,2005-09-02,"8,82","8,90","312,24","307,94","307,77",18.951403148528406
Tesouro IPCA+,2015-05-15,2005-09-05,"8,74","8,80","685,47","681,83","681,56",9.689253935660506
Tesouro IPCA+,2024-08-15,2005-09-05,"8,82","8,90","312,36","308,06","307,94",18.94318959616701
Tesouro IPCA+,2015-05-15,2005-09-06,"8,75","8,81","684,97","681,34","681,04",9.686516084873375
Tesouro IPCA+,2024-08-15,2005-09-06,"8,82","8,90","312,41","308,11","307,97",18.940451745379878
Tesouro IPCA+,2015-05-15,2005-09-08,"8,75","8,81","685,24","681,61","681,34",9.681040383299111
Tesouro IPCA+,2024-08-15,2005-09-08,"8,82","8,90","312,54","308,23","308,11",18.934976043805612
Tesouro IPCA+,2015-05-15,2005-09-09,"8,75","8,81","685,58","681,95","681,61",9.678302532511978
Tesouro IPCA+,2024-08-15,2005-09-09,"8,82","8,90","312,69","308,39","308,23",18.93223819301848
Tesouro IPCA+,2015-05-15,2005-09-12,"8,75","8,81","685,85","682,21","681,95",9.670088980150581
Tesouro IPCA+,2024-08-15,2005-09-12,"8,82","8,90","312,81","308,51","308,39",18.924024640657084
Tesouro IPCA+,2015-05-15,2005-09-13,"8,75","8,81","686,11","682,48","682,21",9.66735112936345
Tesouro IPCA+,2024-08-15,2005-09-13,"8,82","8,90","312,94","308,63","308,51",18.921286789869953
Tesouro IPCA+,2015-05-15,2005-09-14,"8,75","8,81","686,38","682,74","682,48",9.664613278576317
Tesouro IPCA+,2024-08-15,2005-09-14,"8,82","8,90","313,06","308,75","308,63",18.91854893908282
Tesouro IPCA+,2015-05-15,2005-09-15,"8,75","8,81","686,67","683,03","682,74",9.661875427789186
Tesouro IPCA+,2024-08-15,2005-09-15,"8,82","8,90","313,19","308,88","308,75",18.915811088295687
Tesouro IPCA+,2015-05-15,2005-09-16,"8,75","8,81","687,07","683,44","683,03",9.659137577002053
Tesouro IPCA+,2024-08-15,2005-09-16,"8,82","8,90","313,38","309,07","308,88",18.913073237508556
Tesouro IPCA+,2015-05-15,2005-09-19,"8,75","8,81","687,36","683,73","683,44",9.650924024640657
Tesouro IPCA+,2024-08-15,2005-09-19,"8,83","8,91","312,97","308,67","308,53",18.90485968514716
Tesouro IPCA+,2015-05-15,2005-09-20,"8,75","8,81","687,65","684,02","683,73",9.648186173853524
Tesouro IPCA+,2024-08-15,2005-09-20,"8,85","8,93","312,02","307,73","307,60",18.902121834360027
Tesouro IPCA+,2015-05-15,2005-09-21,"8,75","8,81","687,94","684,30","684,02",9.645448323066393
Tesouro IPCA+,2024-08-15,2005-09-21,"8,88","8,96","310,54","306,27","306,14",18.899383983572896
Tesouro IPCA+,2015-05-15,2005-09-22,"8,75","8,81","688,23","684,59","684,30",9.64271047227926
Tesouro IPCA+,2024-08-15,2005-09-22,"8,89","8,97","310,13","305,87","305,74",18.89664613278576
Tesouro IPCA+,2015-05-15,2005-09-23,"8,75","8,81","688,86","685,22","684,76",9.639972621492129
Tesouro IPCA+,2024-08-15,2005-09-23,"8,89","8,97","310,42","306,16","305,95",18.89390828199863
Tesouro IPCA+,2015-05-15,2005-09-26,"8,75","8,81","689,17","685,53","685,22",9.631759069130732
Tesouro IPCA+,2024-08-15,2005-09-26,"8,89","8,97","310,56","306,30","306,16",18.885694729637233
Tesouro IPCA+,2015-05-15,2005-09-27,"8,75","8,81","689,48","685,84","685,53",9.6290212183436
Tesouro IPCA+,2024-08-15,2005-09-27,"8,90","8,98","310,16","305,91","305,77",18.882956878850102
Tesouro IPCA+,2015-05-15,2005-09-28,"8,73","8,79","691,01","687,36","687,05",9.626283367556468
Tesouro IPCA+,2024-08-15,2005-09-28,"8,87","8,95","311,92","307,64","307,50",18.88021902806297
Tesouro IPCA+,2015-05-15,2005-09-29,"8,74","8,80","690,71","687,07","686,76",9.623545516769337
Tesouro IPCA+,2024-08-15,2005-09-29,"8,87","8,95","312,06","307,78","307,64",18.87748117727584
Tesouro IPCA+,2015-05-15,2005-09-30,"8,74","8,80","691,18","687,54","687,07",9.620807665982204
Tesouro IPCA+,2024-08-15,2005-09-30,"8,87","8,95","312,27","307,99","307,78",18.874743326488705
Tesouro IPCA+,2015-05-15,2005-10-03,"8,67","8,73","695,77","692,10","691,79",9.612594113620808
Tesouro IPCA+,2024-08-15,2005-10-03,"8,83","8,91","314,58","310,27","310,12",18.86652977412731
Tesouro IPCA+,2015-05-15,2005-10-04,"8,65","8,71","697,31","693,63","693,32",9.609856262833675
Tesouro IPCA+,2024-08-15,2005-10-04,"8,80","8,88","316,36","312,02","311,88",18.863791923340177
Tesouro IPCA+,2015-05-15,2005-10-05,"8,63","8,69","698,85","695,17","694,85",9.607118412046544
Tesouro IPCA+,2024-08-15,2005-10-05,"8,80","8,88","316,50","312,16","312,02",18.861054072553046
Tesouro IPCA+,2015-05-15,2005-10-06,"8,63","8,69","699,16","695,48","695,17",9.604380561259411
Tesouro IPCA+,2024-08-15,2005-10-06,"8,80","8,88","316,64","312,30","312,16",18.858316221765914
Tesouro IPCA+,2015-05-15,2005-10-07,"8,63","8,69","699,63","695,95","695,48",9.60164271047228
Tesouro IPCA+,2024-08-15,2005-10-07,"8,80","8,88","316,86","312,51","312,30",18.855578370978783
Tesouro IPCA+,2015-05-15,2005-10-10,"8,63","8,69","699,94","696,26","695,95",9.593429158110883
Tesouro IPCA+,2024-08-15,2005-10-10,"8,80","8,88","317,00","312,66","312,51",18.847364818617386
Tesouro IPCA+,2015-05-15,2005-10-11,"8,63","8,69","700,34","696,65","696,26",9.59069130732375
Tesouro IPCA+,2024-08-15,2005-10-11,"8,80","8,88","317,18","312,84","312,66",18.844626967830255
Tesouro IPCA+,2015-05-15,2005-10-13,"8,63","8,69","700,65","696,96","696,65",9.585215605749486
Tesouro IPCA+,2024-08-15,2005-10-13,"8,80","8,88","317,32","312,98","312,84",18.83915126625599
Tesouro IPCA+,2015-05-15,2005-10-14,"8,63","8,69","701,18","697,50","696,94",9.582477754962355
Tesouro IPCA+,2024-08-15,2005-10-14,"8,80","8,88","317,57","313,22","312,96",18.836413415468858
Tesouro IPCA+,2015-05-15,2005-10-17,"8,62","8,68","702,14","698,45","698,11",9.574264202600958
Tesouro IPCA+,2024-08-15,2005-10-17,"8,80","8,88","317,72","313,37","313,22",18.82819986310746
Tesouro IPCA+,2015-05-15,2005-10-18,"8,63","8,69","701,86","698,18","697,84",9.571526351813826
Tesouro IPCA+,2024-08-15,2005-10-18,"8,79","8,87","318,43","314,07","313,91",18.82546201232033
Tesouro IPCA+,2015-05-15,2005-10-19,"8,63","8,69","702,21","698,52","698,18",9.568788501026694
Tesouro IPCA+,2024-08-15,2005-10-19,"8,79","8,87","318,59","314,23","314,07",18.822724161533195
